name;task;competence;willingness;instances;competence_instances
dora;remove_objects;0.8181818181818182;0.287152772386804;21;11
dora;rescue_mild;0.8181818181818182;-0.19699706720295013;19;11
dora;rescue_critical;0.8181818181818182;-0.9553513513513514;185;11
dora;search_rooms;0.8181818181818182;0.8125;16;11
alice;remove_objects;0.8333333333333334;0.8454770460633039;22;12
alice;rescue_mild;0.8333333333333334;0.5245534560906303;20;12
alice;rescue_critical;0.8333333333333334;0.979291666666667;15;12
alice;search_rooms;0.8333333333333334;1.0;26;12
